id_actuador,fecha_medicion,tiempo_uso_acumulado_h,ciclos_activacion_M,numero_reparaciones,fallos_temporales,temp_operacional_promedio_C,temp_maxima_alcanzada_C,dias_ultima_calibracion,dias_ultimo_servicio,numero_logs_error,cluster
A1_Cadera_Derecha,2024-01-25,331.14,2.71,1,5,48.37,52.35,44,102,25,0
A1_Cadera_Derecha,2024-01-26,1626.3,17.03,1,5,53.39,55.82,109,114,24,3
A1_Cadera_Derecha,2024-01-27,602.76,5.67,1,6,42.28,55.22,115,194,20,0
A1_Cadera_Derecha,2024-01-28,1833.38,17.2,0,0,47.91,52.67,192,241,0,1
A1_Cadera_Derecha,2024-01-29,1036.01,10.2,1,2,47.86,49.51,114,242,7,0
A1_Cadera_Derecha,2024-01-30,625.28,6.16,0,1,48.01,57.08,68,123,2,0
A1_Cadera_Derecha,2024-01-31,1415.59,14.69,0,4,55.05,63.04,81,150,13,0
A1_Cadera_Derecha,2024-02-01,628.85,5.5,0,0,46.75,49.18,87,141,0,0
A1_Cadera_Derecha,2024-02-02,1756.8,15.87,1,2,53.52,55.61,89,121,6,0
A1_Cadera_Derecha,2024-02-03,542.59,5.5,0,1,50.16,54.6,93,129,5,0
A1_Cadera_Derecha,2024-02-04,1502.44,16.47,1,3,55.68,61.73,40,64,18,0
A1_Cadera_Derecha,2024-02-05,2922.48,29.26,3,9,52.44,58.81,127,174,47,2
A1_Cadera_Derecha,2024-02-06,2322.82,26.21,0,0,51.57,53.65,198,365,0,1
A1_Cadera_Derecha,2024-02-07,2630.69,30.6,1,1,48.28,49.07,246,253,14,3
A1_Cadera_Derecha,2024-02-08,1046.33,8.6,0,1,54.38,57.44,107,227,2,0
A1_Cadera_Derecha,2024-02-09,1899.69,22.15,0,1,46.52,56.98,53,65,1,0
A1_Cadera_Derecha,2024-02-10,1347.34,14.82,0,0,51.49,55.95,346,365,0,1
A1_Cadera_Derecha,2024-02-11,2033.11,20.82,1,3,56.43,60.22,110,228,16,3
A1_Cadera_Derecha,2024-02-12,1192.64,10.04,0,0,48.29,55.43,175,365,0,1
A1_Cadera_Derecha,2024-02-13,1156.95,13.4,2,5,52.78,59.15,64,106,22,0
A1_Cadera_Derecha,2024-02-14,896.25,10.38,0,2,48.45,60.68,129,230,2,0
A1_Cadera_Derecha,2024-02-15,1200.62,12.27,0,0,46.49,56.63,151,349,0,1
A1_Cadera_Derecha,2024-02-16,1835.33,21.4,0,0,44.31,45.81,160,306,0,1
A1_Cadera_Derecha,2024-02-17,1599.42,17.4,2,1,48.01,55.57,52,100,14,0
A1_Cadera_Derecha,2024-02-18,1068.74,10.67,2,5,47.63,63.45,116,211,30,2
A1_Cadera_Derecha,2024-02-19,2147.62,19.08,1,8,54.83,63.71,139,187,22,2
A1_Cadera_Derecha,2024-02-20,475.71,4.41,0,3,54.74,60.54,119,262,13,0
A1_Cadera_Derecha,2024-02-21,2856.1,23.33,0,0,49.51,50.14,82,93,0,3
A1_Cadera_Derecha,2024-02-22,2289.72,23.94,0,2,57.25,71.52,100,245,24,3
A1_Cadera_Derecha,2024-02-23,2128.95,18.94,0,7,50.75,71.57,194,219,39,2
A1_Cadera_Derecha,2024-02-24,2678.87,23.79,1,5,51.29,57.21,151,344,26,3
A1_Cadera_Derecha,2024-02-25,1205.8,13.28,1,3,55.09,59.47,130,251,11,0
A1_Cadera_Derecha,2024-02-26,2415.88,24.56,1,3,52.45,58.61,114,174,15,3
A1_Cadera_Derecha,2024-02-27,1841.26,14.91,1,6,53.19,67.04,124,251,32,2
A1_Cadera_Derecha,2024-02-28,1966.86,18.86,0,0,55.53,59.77,72,123,0,0
A1_Cadera_Derecha,2024-02-29,2349.08,26.04,0,0,51.78,58.78,172,331,0,1
A1_Cadera_Derecha,2024-03-01,871.06,9.36,0,0,44.31,48.18,50,73,0,0
A1_Cadera_Derecha,2024-03-02,2101.45,19.26,0,0,42.51,51.21,157,214,0,1
A1_Cadera_Derecha,2024-03-03,3127.59,25.14,1,1,55.09,55.62,152,336,5,3
A1_Cadera_Derecha,2024-03-04,685.99,7.88,1,5,46.78,56.11,157,176,11,0
A1_Cadera_Derecha,2024-03-05,870.24,8.7,2,3,56.65,63.54,104,218,22,2
A1_Cadera_Derecha,2024-03-06,754.46,7.5,1,3,57.52,58.48,87,207,10,0
A1_Cadera_Derecha,2024-03-07,976.55,9.55,0,0,41.02,46.98,142,283,0,1
A1_Cadera_Derecha,2024-03-08,1573.21,15.44,1,3,52.53,57.84,67,70,17,0
A1_Cadera_Derecha,2024-03-09,2388.49,27.4,0,2,51.74,56.02,126,186,5,3
A1_Cadera_Derecha,2024-03-10,531.72,5.35,0,5,50.45,68.68,107,179,33,0
A1_Cadera_Derecha,2024-03-11,1823.12,18.21,0,3,55.5,61.79,76,89,16,0
A1_Cadera_Derecha,2024-03-12,2561.91,23.82,1,1,49.01,50.51,65,72,8,3
A1_Cadera_Derecha,2024-03-13,1184.04,12.0,2,1,55.91,63.42,171,365,11,1
A1_Cadera_Derecha,2024-03-14,2122.69,23.8,1,1,48.31,48.96,155,314,9,3
A1_Cadera_Derecha,2024-03-15,1727.63,19.48,1,4,50.32,57.04,180,360,10,1
A1_Cadera_Derecha,2024-03-16,1554.22,17.8,1,2,52.35,56.66,118,206,13,3
A1_Cadera_Derecha,2024-03-17,2994.11,25.49,1,2,55.2,58.4,88,97,11,3
A1_Cadera_Derecha,2024-03-18,843.59,8.94,0,0,43.46,44.03,141,281,0,1
A1_Cadera_Derecha,2024-03-19,2424.46,24.85,0,2,48.89,56.74,209,283,8,3
A1_Cadera_Derecha,2024-03-20,1812.03,19.63,2,7,51.01,53.55,67,162,23,3
A1_Cadera_Derecha,2024-03-21,2285.01,25.5,0,1,50.54,54.68,135,162,5,3
A1_Cadera_Derecha,2024-03-22,2152.69,17.81,1,2,51.08,56.31,164,218,12,3
A1_Cadera_Derecha,2024-03-23,1198.24,10.73,0,0,49.05,52.03,105,234,0,0
A1_Cadera_Derecha,2024-03-24,351.51,3.41,0,0,43.24,47.41,147,150,0,0
A1_Cadera_Derecha,2024-03-25,2220.86,24.52,0,2,52.38,57.81,79,137,4,3
A1_Cadera_Derecha,2024-03-26,637.89,6.32,0,0,43.79,44.78,82,136,0,0
A1_Cadera_Derecha,2024-03-27,2258.48,24.02,0,1,56.2,62.35,185,327,1,1
A1_Cadera_Derecha,2024-03-28,1833.96,14.76,2,1,46.28,48.38,211,218,11,1
A1_Cadera_Derecha,2024-03-29,2756.72,28.84,0,4,51.5,59.42,223,365,7,3
A1_Cadera_Derecha,2024-03-30,1557.51,18.34,2,9,49.18,53.0,76,188,49,2
A1_Cadera_Derecha,2024-03-31,1604.61,14.21,1,6,48.6,60.1,127,215,16,3
A1_Cadera_Derecha,2024-04-01,823.01,8.61,0,0,47.59,49.4,54,79,0,0
A1_Cadera_Derecha,2024-04-02,401.15,4.16,0,0,47.2,48.48,40,62,0,0
A1_Cadera_Derecha,2024-04-03,483.2,4.99,0,4,56.41,72.86,105,217,41,2
A1_Cadera_Derecha,2024-04-04,1260.82,10.53,2,4,46.98,54.08,61,96,23,0
A1_Cadera_Derecha,2024-04-05,1581.04,12.8,0,2,49.05,57.67,158,272,4,1
A1_Cadera_Derecha,2024-04-06,1274.41,10.89,0,0,52.42,61.02,209,291,0,1
A1_Cadera_Derecha,2024-04-07,1801.05,19.88,1,2,57.57,61.59,39,92,17,0
A1_Cadera_Derecha,2024-04-08,1653.68,14.93,0,0,47.63,49.45,162,310,0,1
A1_Cadera_Derecha,2024-04-09,952.3,8.57,0,2,50.71,61.61,142,240,9,0
A2_Rodilla_Derecha,2024-01-01,2858.34,31.86,3,8,63.22,66.11,98,233,43,2
A2_Rodilla_Derecha,2024-01-02,2062.53,22.9,3,8,48.8,54.62,102,202,31,2
A2_Rodilla_Derecha,2024-01-03,1035.09,10.01,0,1,59.72,61.63,146,262,3,1
A2_Rodilla_Derecha,2024-01-04,1828.15,19.82,1,3,54.44,55.05,183,250,9,3
A2_Rodilla_Derecha,2024-01-05,1476.77,13.9,1,3,59.98,64.59,211,365,11,1
A2_Rodilla_Derecha,2024-01-06,2944.7,27.15,4,10,62.0,63.44,111,264,45,2
A2_Rodilla_Derecha,2024-01-07,1266.34,10.22,1,3,55.8,65.09,95,161,12,0
A2_Rodilla_Derecha,2024-01-08,1056.1,12.26,1,3,55.83,65.18,124,280,16,1
A2_Rodilla_Derecha,2024-01-09,2151.37,24.77,1,8,58.87,66.85,365,365,32,2
A2_Rodilla_Derecha,2024-01-10,1667.91,16.72,1,1,52.85,58.64,114,219,3,0
A2_Rodilla_Derecha,2024-01-11,300.95,3.1,0,1,49.59,55.05,119,207,3,0
A2_Rodilla_Derecha,2024-01-12,478.34,5.19,2,1,46.62,47.66,174,190,14,0
A2_Rodilla_Derecha,2024-01-13,1648.66,13.99,0,5,61.38,64.71,138,289,10,2
A2_Rodilla_Derecha,2024-01-14,2712.08,26.28,0,1,57.86,62.38,60,126,5,3
A2_Rodilla_Derecha,2024-01-15,2584.35,29.18,2,3,49.89,52.66,89,175,21,3
A2_Rodilla_Derecha,2024-01-16,2010.7,20.96,1,1,52.8,55.84,164,174,3,3
A2_Rodilla_Derecha,2024-01-17,2542.4,21.52,3,7,55.66,60.31,149,335,35,2
A2_Rodilla_Derecha,2024-01-18,1081.38,9.82,1,7,54.41,61.57,64,68,26,2
A2_Rodilla_Derecha,2024-01-19,1662.73,14.17,1,7,62.4,66.13,143,187,34,2
A2_Rodilla_Derecha,2024-01-20,148.82,1.77,0,2,57.07,60.88,100,235,6,0
A2_Rodilla_Derecha,2024-01-21,1715.91,14.65,0,2,59.22,61.32,191,195,10,1
A2_Rodilla_Derecha,2024-01-22,1894.73,15.66,1,3,52.81,55.33,112,245,16,3
A2_Rodilla_Derecha,2024-01-23,1640.08,14.96,1,5,58.6,62.88,126,238,22,2
A2_Rodilla_Derecha,2024-01-24,1769.7,19.85,1,2,51.65,61.98,365,365,14,1
A2_Rodilla_Derecha,2024-01-25,1420.13,15.38,0,2,51.41,62.16,139,331,7,1
A2_Rodilla_Derecha,2024-01-26,1333.96,15.83,2,5,51.4,53.33,196,304,24,3
A2_Rodilla_Derecha,2024-01-27,961.64,11.08,0,0,56.61,58.5,210,365,0,1
A2_Rodilla_Derecha,2024-01-28,2586.28,23.66,1,1,59.73,62.9,126,190,4,3
A2_Rodilla_Derecha,2024-01-29,2700.25,32.01,4,14,65.47,71.36,203,309,78,2
A2_Rodilla_Derecha,2024-01-30,844.54,6.84,0,1,53.89,59.59,133,178,3,0
A2_Rodilla_Derecha,2024-01-31,1331.52,12.6,2,5,52.01,55.04,164,279,32,2
A2_Rodilla_Derecha,2024-02-01,1644.8,19.46,1,5,63.65,64.65,137,229,16,2
A2_Rodilla_Derecha,2024-02-02,1577.95,13.87,1,7,48.76,55.78,120,165,28,3
A2_Rodilla_Derecha,2024-02-03,384.0,3.09,1,1,54.19,55.74,152,262,7,0
A2_Rodilla_Derecha,2024-02-04,1045.58,12.34,0,1,46.63,56.63,64,153,2,0
A2_Rodilla_Derecha,2024-02-05,2207.66,22.8,2,12,59.16,76.39,64,71,98,2
A2_Rodilla_Derecha,2024-02-06,2593.03,27.94,2,4,59.91,71.09,180,365,35,2
A2_Rodilla_Derecha,2024-02-07,151.25,1.72,0,0,47.71,48.56,76,97,0,0
A2_Rodilla_Derecha,2024-02-08,2156.95,23.76,0,2,62.15,63.01,157,167,6,3
A2_Rodilla_Derecha,2024-02-09,2140.92,23.1,3,11,55.55,59.41,270,365,53,2
A2_Rodilla_Derecha,2024-02-10,1187.62,13.38,1,5,56.38,61.57,69,139,24,2
A2_Rodilla_Derecha,2024-02-11,496.24,3.99,0,1,54.04,57.74,123,185,2,0
A2_Rodilla_Derecha,2024-02-12,678.28,6.33,1,2,52.73,55.9,94,133,5,0
A2_Rodilla_Derecha,2024-02-13,1039.14,10.07,0,0,51.62,53.44,49,71,0,0
A2_Rodilla_Derecha,2024-02-14,1539.97,12.79,2,1,54.75,60.5,208,306,10,1
A2_Rodilla_Derecha,2024-02-15,1897.92,19.64,0,4,57.16,67.41,210,270,13,3
A2_Rodilla_Derecha,2024-02-16,858.51,8.36,0,1,51.97,52.97,59,67,3,0
A2_Rodilla_Derecha,2024-02-17,2356.06,19.44,1,11,53.23,68.17,117,278,49,2
A2_Rodilla_Derecha,2024-02-18,1453.44,16.21,1,5,63.47,66.09,103,181,13,2
A2_Rodilla_Derecha,2024-02-19,1275.74,13.55,0,0,53.05,55.8,96,224,0,0
A2_Rodilla_Derecha,2024-02-20,1410.57,13.03,0,2,55.22,56.15,158,236,7,1
A2_Rodilla_Derecha,2024-02-21,1072.31,12.26,0,2,57.53,61.17,239,282,1,1
A2_Rodilla_Derecha,2024-02-22,1700.72,14.17,0,2,54.28,61.11,65,159,8,0
A2_Rodilla_Derecha,2024-02-23,905.2,7.66,0,1,57.51,59.71,134,314,2,1
A2_Rodilla_Derecha,2024-02-24,1771.94,19.06,3,10,56.67,72.04,184,202,70,2
A2_Rodilla_Derecha,2024-02-25,247.49,2.53,0,0,57.88,59.76,77,131,0,0
A2_Rodilla_Derecha,2024-02-26,1501.1,13.32,2,9,54.17,72.6,88,206,66,2
A2_Rodilla_Derecha,2024-02-27,1723.1,14.86,0,4,59.21,75.0,115,147,31,2
A2_Rodilla_Derecha,2024-02-28,2544.21,23.12,2,5,52.72,62.02,170,218,17,3
A2_Rodilla_Derecha,2024-02-29,2155.43,17.53,0,4,56.05,59.86,162,365,9,1
A2_Rodilla_Derecha,2024-03-01,1687.72,15.13,0,2,54.99,58.28,201,205,8,1
A2_Rodilla_Derecha,2024-03-02,540.48,5.28,0,2,53.18,55.63,229,301,9,1
A2_Rodilla_Derecha,2024-03-03,1928.79,20.76,0,7,59.9,72.11,244,365,59,2
A2_Rodilla_Derecha,2024-03-04,2759.72,25.14,1,1,56.27,61.88,187,358,11,3
A2_Rodilla_Derecha,2024-03-05,1259.85,14.35,4,5,53.79,57.14,50,75,31,2
A2_Rodilla_Derecha,2024-03-06,1413.53,11.66,0,1,49.64,57.32,95,164,3,0
A2_Rodilla_Derecha,2024-03-07,732.07,6.66,0,1,50.08,54.98,62,115,8,0
A2_Rodilla_Derecha,2024-03-08,156.32,1.55,0,0,52.01,55.54,182,365,0,1
A2_Rodilla_Derecha,2024-03-09,1365.43,14.02,0,5,53.33,77.6,79,177,48,2
A2_Rodilla_Derecha,2024-03-10,1366.39,15.29,2,4,55.61,58.32,110,111,28,2
A2_Rodilla_Derecha,2024-03-11,2066.77,19.44,0,1,56.01,58.25,148,252,3,1
A2_Rodilla_Derecha,2024-03-12,887.53,7.21,2,2,52.31,55.33,66,110,21,0
A2_Rodilla_Derecha,2024-03-13,1584.63,17.27,0,2,56.17,58.44,97,132,5,0
A2_Rodilla_Derecha,2024-03-14,1088.0,10.21,1,6,54.73,61.95,132,134,26,2
A2_Rodilla_Derecha,2024-03-15,1121.55,10.14,0,2,58.23,61.63,69,116,10,0
A2_Rodilla_Derecha,2024-03-16,1360.38,13.07,0,0,50.25,54.28,161,244,0,1
A2_Rodilla_Derecha,2024-03-17,2495.06,25.26,2,5,56.74,57.45,285,365,22,3
A2_Rodilla_Derecha,2024-03-18,2103.43,20.73,2,9,56.58,70.05,169,182,56,2
A2_Rodilla_Derecha,2024-03-19,2681.8,25.31,1,3,59.08,65.96,70,94,15,3
A2_Rodilla_Derecha,2024-03-20,2051.02,17.38,0,2,56.86,63.81,139,290,3,1
A2_Rodilla_Derecha,2024-03-21,1754.61,17.9,1,3,56.41,67.37,109,217,13,3
A2_Rodilla_Derecha,2024-03-22,1283.81,12.42,2,9,48.51,54.86,173,365,38,2
A2_Rodilla_Derecha,2024-03-23,1494.09,17.0,1,2,54.13,74.88,119,181,44,2
A2_Rodilla_Derecha,2024-03-24,1181.46,14.13,1,3,52.47,57.76,103,188,13,0
A2_Rodilla_Derecha,2024-03-25,1812.11,15.11,2,1,52.26,56.44,108,258,12,3
A2_Rodilla_Derecha,2024-03-26,2102.09,21.72,3,9,61.48,66.14,128,286,58,2
A2_Rodilla_Derecha,2024-03-27,784.06,7.82,0,0,50.47,51.1,83,184,0,0
A2_Rodilla_Derecha,2024-03-28,843.71,7.97,0,2,60.48,62.82,58,137,7,0
A2_Rodilla_Derecha,2024-03-29,1762.55,18.83,0,5,52.74,56.42,116,197,16,3
A2_Rodilla_Derecha,2024-03-30,455.37,4.01,0,1,53.65,60.49,68,94,2,0
A2_Rodilla_Derecha,2024-03-31,697.97,7.47,0,4,55.2,69.84,229,365,30,1
A2_Rodilla_Derecha,2024-04-01,2055.1,19.25,1,2,59.23,64.08,79,100,9,3
A2_Rodilla_Derecha,2024-04-02,1682.79,14.07,1,7,48.69,59.01,120,169,21,3
A2_Rodilla_Derecha,2024-04-03,1728.41,16.06,0,3,55.64,63.69,280,365,3,1
A2_Rodilla_Derecha,2024-04-04,512.36,5.21,0,4,55.46,80.64,82,205,58,2
A2_Rodilla_Derecha,2024-04-05,1455.19,13.99,0,5,58.97,70.24,204,357,35,2
A2_Rodilla_Derecha,2024-04-06,2020.94,17.75,1,1,55.83,57.91,212,365,9,1
A2_Rodilla_Derecha,2024-04-07,2315.9,20.29,1,1,51.26,58.47,271,365,9,1
A2_Rodilla_Derecha,2024-04-08,1212.43,12.15,0,2,56.26,56.77,87,145,7,0
A2_Rodilla_Derecha,2024-04-09,1636.29,13.92,0,0,50.8,54.54,303,365,0,1
A3_Tobillo_Derecha,2024-01-01,2215.72,22.74,0,0,54.99,59.24,185,350,0,1
A3_Tobillo_Derecha,2024-01-02,1186.03,11.75,0,1,51.75,58.63,157,252,7,1
A3_Tobillo_Derecha,2024-01-03,1083.49,11.46,1,0,45.55,48.71,112,120,10,0
A3_Tobillo_Derecha,2024-01-04,1217.35,12.79,0,0,42.28,48.5,130,260,0,1
A3_Tobillo_Derecha,2024-01-05,3356.92,29.57,1,2,50.87,54.06,135,148,5,3
A3_Tobillo_Derecha,2024-01-06,2090.81,17.13,0,2,49.88,51.29,61,151,5,0
A3_Tobillo_Derecha,2024-01-07,1065.62,10.61,0,0,52.68,56.4,117,222,0,0
A3_Tobillo_Derecha,2024-01-08,546.19,4.58,0,0,48.08,51.28,71,178,0,0
A3_Tobillo_Derecha,2024-01-09,559.11,5.37,0,0,46.32,52.68,112,182,0,0
A3_Tobillo_Derecha,2024-01-10,2169.93,17.88,0,0,46.16,52.99,140,283,0,1
A3_Tobillo_Derecha,2024-01-11,1712.14,17.01,0,0,43.73,44.46,77,131,0,0
A3_Tobillo_Derecha,2024-01-12,2116.27,17.14,0,3,54.05,57.0,116,162,5,3
A3_Tobillo_Derecha,2024-01-13,2792.23,27.61,0,2,51.08,57.03,99,229,9,3
A3_Tobillo_Derecha,2024-01-14,1263.57,13.08,0,0,55.21,56.81,57,91,0,0
A3_Tobillo_Derecha,2024-01-15,1076.94,8.7,0,5,49.57,69.85,55,130,25,0
A3_Tobillo_Derecha,2024-01-16,2904.01,32.06,3,5,47.58,48.47,222,292,30,3
A3_Tobillo_Derecha,2024-01-17,1493.58,14.37,1,3,51.04,53.46,92,144,12,0
A3_Tobillo_Derecha,2024-01-18,751.15,8.44,1,1,44.99,53.32,126,221,9,0
A3_Tobillo_Derecha,2024-01-19,1333.61,14.43,1,0,45.96,55.0,203,348,5,1
A3_Tobillo_Derecha,2024-01-20,873.94,9.89,1,4,48.88,57.89,181,365,19,1
A3_Tobillo_Derecha,2024-01-21,914.78,7.83,0,0,43.91,49.0,104,158,0,0
A3_Tobillo_Derecha,2024-01-22,2852.86,25.68,0,2,50.8,56.68,109,215,8,3
A3_Tobillo_Derecha,2024-01-23,1022.67,9.89,0,0,44.19,51.49,113,200,0,0
A3_Tobillo_Derecha,2024-01-24,1346.33,11.37,0,1,41.8,53.39,99,229,0,0
A3_Tobillo_Derecha,2024-01-25,794.16,9.49,2,2,43.34,52.25,54,82,20,0
A3_Tobillo_Derecha,2024-01-26,1373.39,12.02,0,0,44.71,45.51,153,361,0,1
A3_Tobillo_Derecha,2024-01-27,279.13,2.3,0,0,41.33,43.25,92,109,0,0
A3_Tobillo_Derecha,2024-01-28,1548.7,18.31,1,7,53.31,60.94,103,161,24,2
A3_Tobillo_Derecha,2024-01-29,2298.83,23.02,0,1,52.22,61.06,75,106,3,3
A3_Tobillo_Derecha,2024-01-30,306.99,3.39,0,0,45.08,57.09,83,201,0,0
A3_Tobillo_Derecha,2024-01-31,2052.3,18.99,0,1,43.5,55.55,115,167,5,0
A3_Tobillo_Derecha,2024-02-01,1396.5,16.11,1,2,49.77,61.65,71,80,7,0
A3_Tobillo_Derecha,2024-02-02,1511.0,17.69,1,1,50.67,53.15,73,110,10,0
A3_Tobillo_Derecha,2024-02-03,500.71,4.71,0,0,48.15,53.72,171,365,0,1
A3_Tobillo_Derecha,2024-02-04,2656.33,29.13,0,2,52.03,58.65,99,126,6,3
A3_Tobillo_Derecha,2024-02-05,2940.17,29.7,0,0,40.53,42.54,195,195,0,3
A3_Tobillo_Derecha,2024-02-06,2737.81,23.58,2,4,53.16,66.72,206,327,27,3
A3_Tobillo_Derecha,2024-02-07,854.32,8.31,0,0,48.42,55.69,77,82,0,0
A3_Tobillo_Derecha,2024-02-08,3151.22,30.7,0,1,51.5,60.11,160,304,2,3
A3_Tobillo_Derecha,2024-02-09,1593.56,13.97,0,3,52.65,66.06,98,163,14,0
A3_Tobillo_Derecha,2024-02-10,3129.52,36.59,0,1,54.26,54.77,142,145,3,3
A3_Tobillo_Derecha,2024-02-11,1233.65,12.26,1,0,44.43,48.95,239,365,1,1
A3_Tobillo_Derecha,2024-02-12,1473.83,13.34,0,0,45.63,48.88,119,179,0,0
A3_Tobillo_Derecha,2024-02-13,1045.02,11.56,0,2,48.21,58.27,80,191,5,0
A3_Tobillo_Derecha,2024-02-14,2040.64,17.14,2,8,53.66,66.06,60,79,47,2
A3_Tobillo_Derecha,2024-02-15,451.49,4.47,0,0,48.16,49.58,59,78,0,0
A3_Tobillo_Derecha,2024-02-16,1095.63,11.24,0,2,44.4,56.39,108,130,11,0
A3_Tobillo_Derecha,2024-02-17,1526.41,13.94,0,3,53.46,62.73,205,365,6,1
A3_Tobillo_Derecha,2024-02-18,1084.03,12.51,0,1,46.62,52.91,69,69,2,0
A3_Tobillo_Derecha,2024-02-19,1552.53,18.07,1,4,50.58,64.99,122,222,16,3
A3_Tobillo_Derecha,2024-02-20,2149.41,25.55,1,1,54.35,55.05,138,299,8,3
A3_Tobillo_Derecha,2024-02-21,991.48,8.13,0,0,48.1,51.37,114,187,0,0
A3_Tobillo_Derecha,2024-02-22,590.56,5.99,0,0,47.24,50.55,17,43,0,0
A3_Tobillo_Derecha,2024-02-23,2926.42,28.15,1,2,53.27,55.78,148,362,18,3
A3_Tobillo_Derecha,2024-02-24,1983.74,23.4,0,2,49.15,56.64,288,361,11,1
A3_Tobillo_Derecha,2024-02-25,3931.32,43.74,0,2,48.14,61.15,144,201,3,3
A3_Tobillo_Derecha,2024-02-26,1270.67,13.06,0,0,48.48,58.65,37,50,0,0
A3_Tobillo_Derecha,2024-02-27,618.08,6.04,0,0,45.07,51.28,36,39,0,0
A3_Tobillo_Derecha,2024-02-28,713.41,6.62,0,0,44.03,46.15,51,103,0,0
A3_Tobillo_Derecha,2024-02-29,1322.9,10.92,1,3,53.68,61.41,93,170,9,0
A3_Tobillo_Derecha,2024-03-01,778.75,6.91,1,0,41.1,42.55,49,72,7,0
A3_Tobillo_Derecha,2024-03-02,1701.61,15.85,1,6,52.59,61.15,153,262,20,3
A3_Tobillo_Derecha,2024-03-03,1645.31,13.5,0,1,52.39,57.21,58,98,4,0
A3_Tobillo_Derecha,2024-03-04,1626.21,17.2,0,1,49.36,60.57,91,132,3,0
A3_Tobillo_Derecha,2024-03-05,1547.59,13.04,0,0,52.31,61.6,147,158,0,0
A3_Tobillo_Derecha,2024-03-06,1130.85,13.31,0,2,51.75,58.32,77,80,9,0
A3_Tobillo_Derecha,2024-03-07,921.4,10.42,0,0,46.56,50.25,263,365,0,1
A3_Tobillo_Derecha,2024-03-08,1796.72,19.28,0,0,39.72,51.33,191,203,0,1
A3_Tobillo_Derecha,2024-03-09,2035.19,20.02,0,0,49.98,53.1,149,171,0,1
A3_Tobillo_Derecha,2024-03-10,374.55,4.26,0,0,48.47,49.09,75,141,0,0
A3_Tobillo_Derecha,2024-03-11,1257.22,13.01,0,0,47.9,50.93,55,116,0,0
A3_Tobillo_Derecha,2024-03-12,1255.35,11.08,0,2,49.59,51.92,104,120,9,0
A3_Tobillo_Derecha,2024-03-13,381.06,3.93,0,0,47.84,50.3,139,330,0,1
A3_Tobillo_Derecha,2024-03-14,1566.62,16.82,0,3,50.84,63.94,159,294,12,1
A3_Tobillo_Derecha,2024-03-15,1389.52,11.7,0,1,53.21,56.96,220,365,3,1
A3_Tobillo_Derecha,2024-03-16,560.44,6.71,2,5,49.9,57.1,72,119,24,0
A3_Tobillo_Derecha,2024-03-17,1430.28,12.98,0,1,48.79,57.14,230,365,3,1
A3_Tobillo_Derecha,2024-03-18,630.71,5.71,0,1,47.15,52.46,89,126,2,0
